#[1]xEvo [2]E [3]PT [4]PL [5]Nu [6]Nd [7]Ns [8]Tau
2.66868 0.978504 0.3869 0.204704 0.0531736 0.0607698 0 3.16474
2.69368 0.980119 0.387096 0.205926 0.0531736 0.0607698 0 3.20721
2.71868 0.98171 0.387287 0.207136 0.0531736 0.0607698 0 3.24987
2.74368 0.983278 0.387473 0.208333 0.0531736 0.0607698 0 3.2927
2.76868 0.984824 0.387654 0.209517 0.0531736 0.0607698 0 3.33572
2.79368 0.986348 0.387829 0.210689 0.0531736 0.0607698 0 3.37893
2.81868 0.987851 0.388001 0.21185 0.0531736 0.0607698 0 3.42231
2.84368 0.989332 0.388167 0.212998 0.0531736 0.0607698 0 3.46588
2.86868 0.990793 0.388329 0.214135 0.0531736 0.0607698 0 3.50963
2.89368 0.992233 0.388487 0.21526 0.0531736 0.0607698 0 3.55355
2.91868 0.993654 0.38864 0.216373 0.0531736 0.0607698 0 3.59766
2.94368 0.995055 0.38879 0.217475 0.0531736 0.0607698 0 3.64194
2.96868 0.996437 0.388935 0.218566 0.0531736 0.0607698 0 3.6864
2.99368 0.997801 0.389077 0.219646 0.0531736 0.0607698 0 3.73103
3.01868 0.999146 0.389215 0.220715 0.0531736 0.0607698 0 3.77585
3.04368 1.00047 0.38935 0.221773 0.0531736 0.0607698 0 3.82084
3.06868 1.00178 0.389481 0.22282 0.0531736 0.0607698 0 3.866
3.09368 1.00307 0.389608 0.223857 0.0531736 0.0607698 0 3.91134
3.11868 1.00435 0.389733 0.224883 0.0531736 0.0607698 0 3.95685
3.14368 1.00561 0.389854 0.225899 0.0531736 0.0607698 0 4.00253
3.16868 1.00685 0.389972 0.226905 0.0531736 0.0607698 0 4.04839
3.19368 1.00807 0.390087 0.227901 0.0531736 0.0607698 0 4.09441
3.21868 1.00928 0.390199 0.228886 0.0531736 0.0607698 0 4.14061
3.24368 1.01048 0.390308 0.229862 0.0531736 0.0607698 0 4.18698
3.26868 1.01166 0.390415 0.230828 0.0531736 0.0607698 0 4.23352
3.29368 1.01282 0.390519 0.231785 0.0531736 0.0607698 0 4.28023
3.31868 1.01397 0.39062 0.232732 0.0531736 0.0607698 0 4.3271
3.34368 1.01511 0.390719 0.233669 0.0531736 0.0607698 0 4.37415
3.36868 1.01623 0.390815 0.234598 0.0531736 0.0607698 0 4.42136
3.39368 1.01734 0.390909 0.235517 0.0531736 0.0607698 0 4.46874
3.41868 1.01843 0.391001 0.236427 0.0531736 0.0607698 0 4.51629
3.44368 1.01951 0.39109 0.237328 0.0531736 0.0607698 0 4.564
3.46868 1.02058 0.391178 0.238221 0.0531736 0.0607698 0 4.61187
3.49368 1.02163 0.391263 0.239104 0.0531736 0.0607698 0 4.65992
3.51868 1.02267 0.391346 0.239979 0.0531736 0.0607698 0 4.70812
3.54368 1.0237 0.391427 0.240846 0.0531736 0.0607698 0 4.75649
3.56868 1.02472 0.391506 0.241704 0.0531736 0.0607698 0 4.80502
3.59368 1.02572 0.391584 0.242554 0.0531736 0.0607698 0 4.85372
3.61868 1.02671 0.391659 0.243395 0.0531736 0.0607698 0 4.90257
3.64368 1.02769 0.391733 0.244229 0.0531736 0.0607698 0 4.95159
3.66868 1.02866 0.391805 0.245054 0.0531736 0.0607698 0 5.00077
3.69368 1.02962 0.391875 0.245872 0.0531736 0.0607698 0 5.05011
3.71868 1.03057 0.391944 0.246682 0.0531736 0.0607698 0 5.09961
3.74368 1.0315 0.392011 0.247484 0.0531736 0.0607698 0 5.14927
3.76868 1.03243 0.392076 0.248278 0.0531736 0.0607698 0 5.19909
3.79368 1.03334 0.39214 0.249065 0.0531736 0.0607698 0 5.24907
3.81868 1.03425 0.392203 0.249844 0.0531736 0.0607698 0 5.2992
3.84368 1.03514 0.392264 0.250616 0.0531736 0.0607698 0 5.34949
3.86868 1.03603 0.392323 0.251381 0.0531736 0.0607698 0 5.39994
3.89368 1.0369 0.392382 0.252139 0.0531736 0.0607698 0 5.45055
3.91868 1.03777 0.392439 0.252889 0.0531736 0.0607698 0 5.50131
3.94368 1.03862 0.392495 0.253633 0.0531736 0.0607698 0 5.55223
3.96868 1.03947 0.392549 0.254369 0.0531736 0.0607698 0 5.6033
3.99368 1.0403 0.392602 0.255099 0.0531736 0.0607698 0 5.65453
4.01868 1.04113 0.392655 0.255822 0.0531736 0.0607698 0 5.70591
4.04368 1.04195 0.392706 0.256538 0.0531736 0.0607698 0 5.75745
4.06868 1.04276 0.392755 0.257248 0.0531736 0.0607698 0 5.80914
4.09368 1.04356 0.392804 0.257951 0.0531736 0.0607698 0 5.86098
4.11868 1.04435 0.392852 0.258648 0.0531736 0.0607698 0 5.91298
4.14368 1.04514 0.392899 0.259338 0.0531736 0.0607698 0 5.96513
4.16868 1.04591 0.392944 0.260022 0.0531736 0.0607698 0 6.01742
4.19368 1.04668 0.392989 0.2607 0.0531736 0.0607698 0 6.06987
4.21868 1.04744 0.393033 0.261372 0.0531736 0.0607698 0 6.12248
4.24368 1.04819 0.393075 0.262038 0.0531736 0.0607698 0 6.17523
4.26868 1.04893 0.393117 0.262697 0.0531736 0.0607698 0 6.22813
4.29368 1.04967 0.393158 0.263351 0.0531736 0.0607698 0 6.28118
4.31868 1.0504 0.393198 0.263999 0.0531736 0.0607698 0 6.33438
4.34368 1.05112 0.393238 0.264641 0.0531736 0.0607698 0 6.38773
4.36868 1.05183 0.393276 0.265278 0.0531736 0.0607698 0 6.44123
4.39368 1.05254 0.393314 0.265908 0.0531736 0.0607698 0 6.49487
4.41868 1.05323 0.393351 0.266534 0.0531736 0.0607698 0 6.54866
4.44368 1.05393 0.393387 0.267153 0.0531736 0.0607698 0 6.6026
4.46868 1.05461 0.393422 0.267767 0.0531736 0.0607698 0 6.65669
4.49368 1.05529 0.393457 0.268376 0.0531736 0.0607698 0 6.71092
