#[1]xEvo [2]T [3]Muu [4]Mud [5]Mus [6]Tau [7]E
2.14368 0.465133 0.313301 0.35378 0 2.50301 0.805878
2.16868 0.465451 0.312924 0.353369 0 2.54432 0.807799
2.19368 0.465763 0.312556 0.352966 0 2.58584 0.809687
2.21868 0.466069 0.312195 0.352572 0 2.62758 0.811545
2.24368 0.46637 0.31184 0.352184 0 2.66953 0.813372
2.26868 0.466665 0.311493 0.351805 0 2.7117 0.81517
2.29368 0.466955 0.311153 0.351432 0 2.75408 0.816938
2.31868 0.46724 0.310819 0.351067 0 2.79667 0.818679
2.34368 0.467519 0.310491 0.350709 0 2.83947 0.820391
2.36868 0.467794 0.31017 0.350357 0 2.88249 0.822077
2.39368 0.468063 0.309854 0.350012 0 2.92571 0.823736
2.41868 0.468329 0.309545 0.349674 0 2.96914 0.825369
2.44368 0.468589 0.309241 0.349341 0 3.01278 0.826977
2.46868 0.468845 0.308943 0.349015 0 3.05663 0.82856
2.49368 0.469097 0.30865 0.348694 0 3.10068 0.830119
2.51868 0.469344 0.308362 0.348379 0 3.14494 0.831655
2.54368 0.469588 0.30808 0.34807 0 3.1894 0.833167
2.56868 0.469827 0.307802 0.347766 0 3.23406 0.834656
2.59368 0.470062 0.30753 0.347468 0 3.27892 0.836123
2.61868 0.470294 0.307262 0.347174 0 3.32399 0.837569
2.64368 0.470521 0.306998 0.346886 0 3.36925 0.838993
2.66868 0.470746 0.30674 0.346603 0 3.41472 0.840397
2.69368 0.470966 0.306485 0.346324 0 3.46038 0.84178
2.71868 0.471183 0.306235 0.34605 0 3.50625 0.843143
2.74368 0.471396 0.305989 0.345781 0 3.55231 0.844486
2.76868 0.471607 0.305748 0.345516 0 3.59856 0.84581
2.79368 0.471814 0.30551 0.345255 0 3.64501 0.847116
2.81868 0.472017 0.305276 0.344999 0 3.69166 0.848403
2.84368 0.472218 0.305046 0.344747 0 3.7385 0.849672
2.86868 0.472415 0.30482 0.344499 0 3.78553 0.850923
